air_date	show_number	category	value	question	answer
2024-01-23	0	KINDA RHYMES WITH KATIE	800	With his on-screen partner in crime Faye Dunaway, he presented the Best Picture Oscar in 2017... to the wrong film	Warren Beatty
2024-01-23	0	KINDA RHYMES WITH KATIE	2000	It's what you are if you reside in the small emirate nestled between Iraq & Saudi Arabia	Kuwaiti
2024-01-23	0	MO ROCCA DRINKING VODKA WITH CHEWBACCA	200	If Mo Rocca was munching on a latke in Osaka, he'd be enjoying a potato pancake in a city in this country	Japan
2024-01-23	0	MO ROCCA DRINKING VODKA WITH CHEWBACCA	400	If Mo Rocca was reading Kafka while eating moussaka, he'd be enjoying tales of alienation while consuming this purple produce	eggplant
2024-01-23	0	MO ROCCA DRINKING VODKA WITH CHEWBACCA	600	If Mo Rocca was unblocking a chakra in Opa-locka, he'd be doing yoga in a city in this southeasternmost U.S. state	Florida
2024-01-23	0	MO ROCCA DRINKING VODKA WITH CHEWBACCA	800	"If Mo Rocca and Neil Sedaka were shouting ""Wocka! Wocka! Wocka!"", they would be crying out this Muppet's catchphrase"	Fozzie (Bear)
2024-01-23	0	MO ROCCA DRINKING VODKA WITH CHEWBACCA	1000	"If Mo Rocca blurted ""Boomshakalaka"" during ""Ninotchka"", he'd be reacting excitedly to a 1939 movie starring this Swedish film legend"	Greta Garbo
2024-01-23	0	PEAK TV	200	Due to a mix-up, the giant robot doll from this South Korean series was briefly displayed in front of a museum	Squid Game
2024-01-23	0	PEAK TV	400	"Donald Glover's brother Stephen is the voice behind the hit song ""Paper Boi"" from this dramatic comedy"	Atlanta
2024-01-23	0	PEAK TV	600	A yearslong FBI investigation that exposed a deep-cover Russian spy ring was the inspiration for this FX drama	The Americans
2024-01-23	0	PEAK TV	800	"Vince Gilligan has asked fans of ""Breaking Bad"" to stop throwing these on the roof of a house featured on the show"	pizzas
2024-01-23	0	PEAK TV	2000	Mike White, the creator of this series, said that the first season is about money and the second season is about sex	White Lotus
2024-01-23	0	BEST TIME TO VISIT	200	"With its famed ball season in full swing, January is the perfect time to visit this Austrian capital, ""the City of Waltzes"""	Vienna
2024-01-23	0	BEST TIME TO VISIT	400	"Every October hundreds of hot air balloons take flight in this New Mexico city at what's called ""the most photographed event in the world"""	Albuquerque
2024-01-23	0	BEST TIME TO VISIT	600	"Get to Edinburgh in August for this festival billed as the ""world's greatest platform for creative freedom"""	the Fringe Festival
2024-01-23	0	BEST TIME TO VISIT	800	Serious collectors take a June getaway to Basel in this country to attend its renowned art fair & stroll its cobblestone alleys	Switzerland
2024-01-23	0	BEST TIME TO VISIT	1000	"Dry season months like November are ideal for hiking ""the Roof of Africa"" at Simien National Park in this country on Africa's horn"	Ethiopia
2024-01-23	0	WACKY FAD OBITUARIES	200	Though we mourn this garment's passing from the realm of viral popularity, it is survived by its component parts, blankets & sleeves	the Slanket (or Snuggie)
2024-01-23	0	WACKY FAD OBITUARIES	400	An ineffective & oddly suggestive workout will be held for this fitness gimmick; oscillating dumbbells will be provided	the Shake Weight
2024-01-23	0	WACKY FAD OBITUARIES	600	Funeral services for this line dance will be held on the nearest cruise ship, featuring a special performance by Los del Rio	"the ""Macarena"""
2024-01-23	0	WACKY FAD OBITUARIES	800	In lieu of flowers, mourners of this trend are asked to lie face down, rigid with their arms at their sides and be photographed	planking
2024-01-23	0	WACKY FAD OBITUARIES	1000	"Born of ordinary Hawaiian milk caps, they are survived by millions of cardboard ""slammers"" lying unused in millennial closets"	Pogs
2024-01-23	0	LITERARY CLICHÉS	0	"Many mystery fans blame ""The Door"", a 1930 Mary Roberts Rinehart novel in which a servant kills a nurse, for this 4-word cliché"	the butler did it
2024-01-16	0	WHO CAME FIRST?	100	John Quincy Adams,John F. Kennedy,Jon Bon Jovi	John Quincy Adams
2024-01-16	0	WHO CAME FIRST?	200	Sally Ride,Coretta Scott King,Florence Nightingale	Florence Nightingale
2024-01-16	0	WHO CAME FIRST?	300	Ferdinand Magellan,Marco Polo,Christopher Columbus	Marco Polo
2024-01-16	0	WHO CAME FIRST?	400	Coco Chanel,Frida Kahlo,Jane Austen	Jane Austen
2024-01-16	0	WHO CAME FIRST?	500	Alexander the Great,Attila the Hun,Genghis Khan	Alexander the Great
2024-01-16	0	DR. SEUSS EN ESPAÑOL	100	"""Huevos Verdes con Jamón"""	Green Eggs and Ham
2024-01-16	0	DR. SEUSS EN ESPAÑOL	200	"""¡Cómo el Grinch Robó la Navidad!"""	How the Grinch Stole Christmas
2024-01-16	0	DR. SEUSS EN ESPAÑOL	300	"""El Gato Ensombrerado"""	The Cat in the Hat
2024-01-16	0	DR. SEUSS EN ESPAÑOL	400	"""¡Horton Escucha a Quién!"""	Horton Hears a Who
2024-01-16	0	DR. SEUSS EN ESPAÑOL	500	"""Un Pez, Dos Peces, Pez Rojo, Pez Azul"""	One Fish, Two Fish, Red Fish, Blue Fish
2024-01-16	0	SPELLING BIZ	100	This beverage brand debuted in 1876; you can't spell it without spelling...B _ _ _ E _ _ E R	Budweiser
2024-01-16	0	SPELLING BIZ	200	This gasoline brand merged with Exxon in 1999; you can't spell it without spelling..._ O _ I L	Mobil
2024-01-16	0	SPELLING BIZ	300	Toyota debuted this model in the US in 1983; you can't spell it without spelling...C A _ R _	Camry
2024-01-16	0	SPELLING BIZ	400	Bronies know this plaything debuted in 1983; you can't spell it without spelling..._ __ _ T _ _ __ O _ Y	My Little Pony
2024-01-16	0	SPELLING BIZ	500	In 1972, this brand debuted Red Zinger and Sleepy Time; you can't spell it without spelling..._ _ _ _ _ T _ _ __ E A _ _ _ _ _ _ _	Celestial Seasonings
2024-01-16	0	KURT RUSSELL FILMS	100	"Kurt & this funny lady were already a couple when they starred in the 1987 amnesia comedy ""Overboard"""	Goldie Hawn
2024-01-16	0	KURT RUSSELL FILMS	200	A sudden reintroduction of oxygen to an enclosed fire can cause this, also the title of a Kurt Russell film	Backdraft
2024-01-16	0	KURT RUSSELL FILMS	300	"Rumor has it that Russell was secretly directing the 1993 western ""Tombstone"" while portraying this legendary lawman"	Wyatt Earp
2024-01-16	0	KURT RUSSELL FILMS	400	"Kurt Russell's Santa is the gift that keeps on giving! He even speaks a fake language called ""Elvish"" in this holiday romp"	The Christmas Chronicles
2024-01-16	0	KURT RUSSELL FILMS	500	"Kurt has said that his most iconic character is ""Snake"" Plissken, the antihero of this film set in a dystopian Big Apple"	Escape from New York
2024-01-16	0	TREES	100	This South American rainforest is said to be home to roughly 390 billion trees	the Amazon
2024-01-16	0	TREES	200	"In the 1984 film ""The Karate Kid"", Daniel asks Mr. Miyagi ""How'd they get so small?"" when he sees Mr. Miyagi trimming these trees"	bonsai
2024-01-16	0	TREES	300	This Bay Area city has a tree on its official flag (it's the type of tree featured in the city's name)	Oakland
2024-01-16	0	TREES	400	"Balsa, magnolia or sequoia: it's the tree that becomes the name of another tree when you add an ""M"" to its end"	balsa (balsam accepted)
2024-01-16	0	TREES	500	"Meaning ""to fall off"" in Latin, it's the word used to describe non-evergreen trees & baby teeth"	deciduous
2024-01-16	0	"""LOL"""	100	"An oldie but goodie, this 1958 Chordettes hit features the line, ""sweeter than candy on a stick"""	"""Lollipop"""
2024-01-16	0	"""LOL"""	200	Jane's Addiction singer Perry Farrell got the name for this Chicago music festival from the Three Stooges	Lollapalooza
2024-01-16	0	"""LOL"""	400	"This word meaning ""dawdle"" is almost as much fun to say as ""dillydally"" & ""shilly-shally"", two of its other synonyms"	lollygag
2024-01-16	0	"""LOL"""	400	"In 1955, a U.K. Sunday Express editor declared this novel by Vladimir Nabokov ""the filthiest book I have ever read"""	Lolita
2024-01-16	0	"""LOL"""	500	This 1998 German crowd-pleaser is 80 minutes long; for most of that time, Franka Potente is out of breath	Run Lola Run
2024-01-16	0	THE FRENCH HORN	200	"A French horn's name is technically just ""horn""-- & the modern version was born not in France, but in this land of Oktoberfest"	Germany
2024-01-16	0	THE FRENCH HORN	400	"A French horn & choir comprise the iconic intro of this Rolling Stones song, in which Mick assures us, ""you get what you need"""	"""You Can't Always Get What You Want"""
2024-01-16	0	THE FRENCH HORN	2000	In one of the least alluring rituals of horn maintenance, players must invert their instruments routinely to drain them of this	spit
2024-01-16	0	THE FRENCH HORN	800	After the 2014 finale, the iconic blue French horn from the set of this TV comedy went home with actor Josh Radnor	How I Met Your Mother
2024-01-16	0	THE FRENCH HORN	1000	This part of the horn where a player inserts their hand can be detached on some instruments to make carrying easier	the bell
2024-01-16	0	SISTERHOODS	200	The beloved March sisters--Meg, Jo, Beth & Amy--are the heroines of this classic novel	Little Women
2024-01-16	0	SISTERHOODS	400	Grammy-winning sisters Ruth, Anita, Bonnie & June kept fans so excited performing as this foursome	the Pointer Sisters
2024-01-16	0	SISTERHOODS	600	Carmen, Lena, Tibby, Bridget, & a pair of secondhand Levi's in a 2005 film	Sisterhood of the Traveling Pants
2024-01-16	0	SISTERHOODS	800	"Not everyone on ""Keeping up with the Kardashians"" was a Kardashian; these three were the only sisters to boast TV's splashiest name"	Kourtney, Kim & Khloe
2024-01-16	0	SISTERHOODS	1000	Fans of this 1996 bestseller have formed dozens of female bonding clubs worldwide; not all require campfire initiation rituals	Divine Secrets of the Ya-Ya Sisterhood
2024-01-16	0	WORDS THAT MAKE DOGS GO NUTS	200	"It goes hand in hand with ""trick"" on All Hallows' Eve"	treat
2024-01-16	0	WORDS THAT MAKE DOGS GO NUTS	400	A large, lavish party with dancing; once upon a time Cinderella attended one	ball
2024-01-16	0	WORDS THAT MAKE DOGS GO NUTS	600	"It's the ""P"" in the automotive acronym PRNDL"	park
2024-01-16	0	WORDS THAT MAKE DOGS GO NUTS	800	"In the ""Ice Age"" films, the acorn-obsessed Scrat is a fictional saber-toothed species of this rodent"	a squirrel
2024-01-16	0	WORDS THAT MAKE DOGS GO NUTS	1000	"In ""Mean Girls"", Gretchen Wieners tries to make this word happen to no avail"	fetch
2024-01-16	0	THE MOUNT RUSHMORE OF...	200	"Will Ferrell films: ""Old School"", ""Anchorman"", ""Step Brothers"" & this comedy set in the Big Apple & the North Pole"	Elf
2024-01-16	0	THE MOUNT RUSHMORE OF...	400	U.S. gymnasts: Simone Biles, Gabby Douglas, Kerri Strug & this gold medalist who became America's Sweetheart in 1984	Mary Lou Retton
2024-01-16	0	THE MOUNT RUSHMORE OF...	600	"Celebrity chefs: Wolfgang Puck, Julia Child, Anthony Bourdain & this N'awlins legend known for his catchphrase ""Bam!"""	Emeril Lagasse
2024-01-16	0	THE MOUNT RUSHMORE OF...	800	"Masterpieces: ""Mona Lisa"", ""The Last Supper"", ""the starry night"" & this Botticelli work of a goddess standing in a scallop shell"	(The) Birth of Venus
2024-01-16	0	THE MOUNT RUSHMORE OF...	1000	Rock drummers: Neil Peart, Ginger Baker, Keith Moon & this legendary Led Zeppelin beat keeper	John Bonham
2024-01-16	0	WHERE ART THOU?	200	You're snapping a selfie at this museum's main entrance, a glass pyramid designed by architect I.M. Pei	the Louvre
2024-01-16	0	WHERE ART THOU?	400	You're taking a dip in one of the world's most photographed swimming pools, Bondi Icebergs, in this city Down Under	Sydney
2024-01-16	0	WHERE ART THOU?	3000	You're hiking up the Yoshida Trail, the most popular route to the summit of this sacred peak in Japan	Mount Fuji
2024-01-16	0	WHERE ART THOU?	800	"You're geeking out on a ""Game of Thrones"" tour of Dubrovnik, an ancient port city in this country"	Croatia
2024-01-16	0	WHERE ART THOU?	1000	You're paddling through the heart of Budapest on a kayaking trip down this river	the Danube
2024-01-16	0	YUP, IT'S A PORT-A-POTTY	200	"A family-owned port-a-potty business since 2003, its name is ""yes yes"" in French"	Oui Oui
2024-01-16	0	YUP, IT'S A PORT-A-POTTY	400	A port-a-potty business for over 30 years, it's also a poker hand consisting of the five highest cards of one suit	Royal Flush
2024-01-16	0	YUP, IT'S A PORT-A-POTTY	600	Finally, I've been holding it in forever; it's what the WC stands for on this port-a-potty	water closet
2024-01-16	0	YUP, IT'S A PORT-A-POTTY	800	A break at the Indy 500, it's also the name of public toilets used in San Francisco since 2014	Pit Stop
2024-01-16	0	YUP, IT'S A PORT-A-POTTY	1000	Based in Eau Claire, WI, this port-a-potty company shares its name with the target where a skydiver lands	Drop Zone
2024-01-16	0	ICONIC DESIGNERS	0	Once married to a publishing heir who owned citrus groves, her brightly printed dresses were originally designed to hide juice stains	Lilly Pulitzer
2024-01-09	0	NUMERICAL PLACE NAMES	100	This road that serves as a border between Detroit and its northern suburbs was made somewhat famous by Eminem	8 Mile
2024-01-09	0	NUMERICAL PLACE NAMES	200	Though it only has four, this Jamaican resort town's name is Spanish for eight rivers	Ocho Rios
2024-01-09	0	NUMERICAL PLACE NAMES	300	This strip of land in the Susquehanna River, seen here, was the scene of a big scare in 1979	Three Mile Island
2024-01-09	0	NUMERICAL PLACE NAMES	400	This north African capital's name reflects its history as one of 3 ancient neighboring cities	Tripoli
2024-01-09	0	NUMERICAL PLACE NAMES	500	Of the states you can stand in at the Four Corners Monument, it's the one to the northwest	Utah
2024-01-09	0	"CAN I GET AN ""A"" MEN!"	100	"He appeared in every episode of ""M*A*S*H""; he also directed its last episode in 1983"	Alan Alda
2024-01-09	0	"CAN I GET AN ""A"" MEN!"	200	Andre Agassi won the U.S. Open twice in the '90s; this tennis icon won it in 1968 and has a stadium there named after him	Arthur Ashe
2024-01-09	0	"CAN I GET AN ""A"" MEN!"	300	"These dancers are performing his work, ""Revelations""; he's also the subject of the book, ""Dancing Revelations"""	Alvin Ailey
2024-01-09	0	"CAN I GET AN ""A"" MEN!"	400	Referring to a type of aperture in large-format view cameras, group f/64 was cofounded in 1932 by this man	Ansel Adams
2024-01-09	0	"CAN I GET AN ""A"" MEN!"	500	"They're all A's on the Hollywood Walk of Fame: actor Alan Arkin, singer Antonio Aguilar and this ""Black-ish"" star"	Anthony Anderson
2024-01-09	0	"COUNTRIES THAT START WITH ""I"""	100	"Among some of its natives, this country's capital city is known as Baile Átha Cliath; we just call it ""Dublin"""	Ireland
2024-01-09	0	"COUNTRIES THAT START WITH ""I"""	200	It's home to over 250 kibbutzim	Israel
2024-01-09	0	"COUNTRIES THAT START WITH ""I"""	300	This country is home to roughly 120 active volcanoes along the Pacific Ring of Fire	Indonesia
2024-01-09	0	"COUNTRIES THAT START WITH ""I"""	400	"An anagram of ""Arabs"", Basra is a port city in this country"	Iraq
2024-01-09	0	"COUNTRIES THAT START WITH ""I"""	500	Of the eight member states in the United Nations that begin with an I, it's the first one alphabetically	Iceland
2024-01-09	0	DATING APPS	100	Rejecting Mark Cuban's $30m offer to buy their app, the creators of Coffee Meets Bagel left this reality show with no deal	Shark Tank
2024-01-09	0	DATING APPS	200	This sexpert was in her 90s when she said dating apps can help combat that problem of loneliness	Dr. Ruth
2024-01-09	0	DATING APPS	300	"In 2023, it launched an ad campaign that featured the slogan ""It starts with a swipe"""	Tinder
2024-01-09	0	DATING APPS	400	"Claiming to have made 180 million+ matches in the Latino community, it's a dating app that means ""spark"" in Spanish"	Chispa
2024-01-09	0	DATING APPS	500	A dating app for Muslims, Muzz allows users to confirm if they only eat foods that are this, the opposite of haram	halal
2024-01-09	0	KITTY LIT	100	Shere Khan the tiger figures into tales by Rudyard Kipling which are set in this country	India
2024-01-09	0	KITTY LIT	200	A stray cat is taken in and then set loose by Holly Golightly in this iconic novella	Breakfast at Tiffany's
2024-01-09	0	KITTY LIT	300	The lion Jad-Bal-Ja was created by Edgar Rice Burroughs as a companion to this guy of the jungle	Tarzan
2024-01-09	0	KITTY LIT	2200	The big cat who frees Narnia from the rule of the White Witch goes by this name	Aslan
2024-01-09	0	KITTY LIT	500	This high-strung cat character who likes to bounce was based on a stuffed animal belonging to young Christopher Robin Milne	Tigger
2024-01-09	0	"""DIS""CONTINUED"	100	"Capitalizing on its own nickname, this Hollywood studio debuted the animated series ""House of Mouse"" in 2001"	Disney
2024-01-09	0	"""DIS""CONTINUED"	200	"A 2012 readers' poll in Rolling Stone magazine listed ""I Will Survive"" and ""Stayin' Alive"" among the best songs in this genre"	disco
2024-01-09	0	"""DIS""CONTINUED"	300	According to regulations, this Olympic sport's equipment should be 22 cm in diameter for men and 18 cm for women	the discus
2024-01-09	0	"""DIS""CONTINUED"	400	"In law, it's ""a justice's nonconcurrence with a decision of the majority""; it's also the nickname of the collar worn by RBG"	dissent
2024-01-09	0	"""DIS""CONTINUED"	500	Setting sail in 1610, it's the ship Henry Hudson used to navigate what we now know as the Hudson strait and Hudson Bay	the Discovery
2024-01-09	0	IT'S A DATE, AMIGO!	200	As señor Bill Murray can tell you, it's the English name for El Día de la Marmota	Groundhog Day
2024-01-09	0	IT'S A DATE, AMIGO!	400	It was romantic of Salma Hayek to mention it on Instagram in 2023; El Día de San Valentín falls in this month	February (Febrero)
2024-01-09	0	IT'S A DATE, AMIGO!	2600	In Spanish, it's El Día de Acción de Gracias; in English, it's this	Thanksgiving
2024-01-09	0	IT'S A DATE, AMIGO!	800	He's the U.S. president whose cumpleaños is celebrated ten days after El Cumpleaños de Lincoln	Washington
2024-01-09	0	IT'S A DATE, AMIGO!	1000	In 2021, it became a U.S. federal holiday; in Spanish, it falls on 19 de Junio	Juneteenth
2024-01-09	0	NUMBER ONE HITS	200	"In 1978, John Travolta & Olivia Newton-John hit #1 with ""You're The One That I Want"", from this movie"	Grease
2024-01-09	0	NUMBER ONE HITS	400	"The thumping bassline of Chic's 1979 hit ""Good Times"" inspired this 1980 queen hit"	"""Another One Bites The Dust"""
2024-01-09	0	NUMBER ONE HITS	600	"Drake might've put a Hennessy in his hand to celebrate when billboard declared this hit the official ""Song of the Summer"" in 2016"	"""One Dance"""
2024-01-09	0	NUMBER ONE HITS	800	"In 2019, ""Old Town Road"" broke this Mariah Carey/Boyz II Men song's record for most weeks at #1"	"""One Sweet Day"""
2024-01-09	0	NUMBER ONE HITS	1000	"In 1998, this band's ""One Week"" stayed at number one for--yep, you guessed it--one week"	Barenaked Ladies
2024-01-09	0	NON-MUSICAL THEATER	200	We never do learn what kind of product Willy Loman sells in this classic play, which opened on Broadway in 1949	Death of a Salesman
2024-01-09	0	NON-MUSICAL THEATER	400	"Hankies recommended for ""700 Sundays,"" the nostalgic one-man show starring this ""Mahvelous"" comedian"	Billy Crystal
2024-01-09	0	NON-MUSICAL THEATER	600	This famous author isn't a character in Edward Albee's best-known play, but her name is in the title	Virginia Woolf
2024-01-09	0	NON-MUSICAL THEATER	800	Vladimir & Estragon wait and wait, but (spoiler alert!) the title character of this Samuel Beckett play never shows up	Waiting for Godot
2024-01-09	0	NON-MUSICAL THEATER	1000	"His acclaimed ""Pittsburgh Cycle"" explores the Black experience in 10 plays, including ""Ma Rainey's Black Bottom"" & ""Fences"""	August Wilson
2024-01-09	0	NEW YORK TIMES OBITUARIES	200	Lindbergh is mentioned in the first paragraph of her 1937 obit	Amelia Earhart
2024-01-09	0	NEW YORK TIMES OBITUARIES	8200	"Aretha Franklin's 2018 obit cited this song as ""a harbinger of feminism, carried by a voice that would accept nothing less"""	"""Respect"""
2024-01-09	0	NEW YORK TIMES OBITUARIES	600	"This surrealist's 1989 obit noted when he ""hallucinated in the late 1920s, the whole world hallucinated with him"""	Dalí
2024-01-09	0	NEW YORK TIMES OBITUARIES	800	"His 2018 obit described him as a physicist and author ""who roamed the cosmos from a wheelchair"""	Hawking
2024-01-09	0	NEW YORK TIMES OBITUARIES	1000	This actor's 2016 obit mentioned he had outlived by about 34 years an erroneous report of his death that made him a cult figure	Abe Vigoda
2024-01-09	0	"""J"" LAW"	200	Featured in the name of the show, it's the title Judy Sheindlin held in her courtroom TV series for 25 seasons	Judge
2024-01-09	0	"""J"" LAW"	400	"Henry Fonda plays a man who sits on one in the 1957 film ""12 Angry Men"""	a jury
2024-01-09	0	"""J"" LAW"	600	"For many offenses, a person under 18 who is convicted of a crime is, under N.Y. state law, labeled this kind of ""delinquent"""	a juvenile
2024-01-09	0	"""J"" LAW"	800	"The Fifth Amendment ensures no person can be convicted twice of the same offense; it inspired the term ""double"" this"	jeopardy
2024-01-09	0	"""J"" LAW"	1000	"It's the 13-letter word defined as ""the science or philosophy of law"""	jurisprudence
2024-01-09	0	ANIMAL IDIOM BRAINTEASERS	200	Please be patient for a moment!:H.Y.H.	hold your horses
2024-01-09	0	ANIMAL IDIOM BRAINTEASERS	400	You are in big trouble:Y.G.I.C.	your goose is cooked
2024-01-09	0	ANIMAL IDIOM BRAINTEASERS	600	Don't forget how many other single people are out there in the dating pool:T.A.P.O.F.I.T.S.	there are plenty of fish in the sea
2024-01-09	0	ANIMAL IDIOM BRAINTEASERS	800	Make all the necessary preparations before you start:G.Y.D.I.A.R.	get your ducks in a row
2024-01-09	0	ANIMAL IDIOM BRAINTEASERS	1000	You can do anything you wish or go anywhere you want in this life:T.W.I.Y.O.	the world is your oyster
2024-01-09	0	TELEVISION HISTORY	0	"According to the BBC, this 1953 event ""did more than any other to make television a mainstream medium"""	the coronation of Queen Elizabeth II
2024-01-02	0	BOOKS IN THE SERIES	100	"Stephenie Meyer:""New Moon"";""Eclipse"";""Breaking Dawn"""	Twilight
2024-01-02	0	BOOKS IN THE SERIES	200	"R.L. Stine:""The Ghost Next Door"";""Vampire Breath"";""Say Cheese & Die!"""	Goosebumps
2024-01-02	0	BOOKS IN THE SERIES	300	"C.S. Lewis:""The Magician's Nephew"";""Prince Caspian"";""The Lion, the Witch and the Wardrobe"""	The Chronicles of Narnia
2024-01-02	0	BOOKS IN THE SERIES	400	"George R.R. Martin:""A Dance with Dragons"";""A Storm of Swords"";""A Game of Thrones"""	A Song of Ice and Fire
2024-01-02	0	BOOKS IN THE SERIES	500	"Philip Pullman:""The Golden Compass"";""The Subtle Knife"";""The Amber Spyglass"""	His Dark Materials
